805973,279122
1056524,279122
984648,279122
1683128,279122
851471,1650860
386896,279122
976434,279122
475465,279122
513652,279122
1233822,279122
1428760,279122
51620,279122
190569,279122
628656,279122
1234630,279122
1452132,279122
1469920,279122
1652524,279122
1159533,279122
552122,279122
546920,279122
1616234,279122
1641363,279122
1714282,279122
1488720,279122
571636,279122
751033,279122
610189,279122
1062715,279122
154270,279122
1611723,279122
1064252,279122
1409397,279122
1124389,279122
245388,279122
1461231,279122
860124,279122
55239,279122
1117994,279122
882748,279122
1234778,279122
1659407,279122
9867,279122
199027,279122
15825,279122
65463,279122
1465257,279122
1415357,279122
1616069,279122
872252,279122
847404,279122
1106036,279122
606767,279122
547238,279122
363067,279122
1763631,279122
1163952,279122
606167,279122
457618,279122
1180290,279122
1714913,279122
21834,279122
845959,279122
1695449,1695467
1487790,279122
1063471,279122
1660759,279122
64887,279122
1236739,279122
560413,279122
611509,279122
1563088,279122
1118686,279122
400745,279122
1093653,279122
465430,279122
1061413,279122
361541,279122
553349,279122
460216,279122
1136225,279122
1232145,279122
1415040,279122
939918,279122
1213678,279122
174959,279122
971682,279122
180462,279122
1376669,279122
1789097,279122
511610,279122
1755102,279122
460213,279122
36329,279122
508533,508342
132405,279122
585895,279122
1409553,279122
476849,279122
1432607,279122
890486,279122
341831,279122
882026,279122
504276,279122
1615750,279122
1527369,279122
1055281,279122
955561,279122
667505,279122
837939,279122
461136,279122
561387,279122
59818,279122
1537554,279122
1101108,279122
1057934,279122
796089,279122
926033,279122
453946,279122
897500,279122
1061349,279122
924673,279122
12579,279122
614047,279122
254501,279122
485513,279122
1375211,279122
1357359,506336
57091,279122
844895,279122
1392783,279122
1160778,279122
1066857,279122
13110,279122
1568639,279122
1179153,279122
528282,279122
1061788,279122
842367,514439
358090,279122
1605832,279122
519363,279122
321857,279122
839138,839238
1462127,1462171
1784953,279122
1651727,279122
1131445,279122
1418732,279122
703416,279122
313693,279122
65806,279122
123530,279122
1063349,279122
1288432,279122
845186,279122
813244,279122
1526606,1527792
857394,855823
1715037,279122
1545380,279122
111436,279122
801969,279122
174141,279122
1129255,279122
903280,279122
1089898,279122
1558605,279122
1090965,279122
69265,279122
433389,279122
1396338,1598695
